Scraped At,Section,Product Name,Price,Rating,Image URL,Product URL
2/8/2026 17:01,Footwear,Cozy Wear Brown Men's Daily Slipper,Rs. 170,4.1,https://g.sdlcdn.com/imgs/k/3/f/Cozy-Wear-Brown-Men-s-SDL005011830-1-0322f.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/cozy-wear-brown-mens-daily/6917529705592538103#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,Xtoon Grey Men's Outdoor Shoes,Rs. 443,3.7,https://g.sdlcdn.com/imgs/k/x/q/Xtoon-Grey-Men-s-Outdoor-SDL797293333-1-384e9.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/xtoon-grey-mens-outdoor-shoes/664057051788#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,Liberty - Black Leather Daily Slipper,Rs. 776,4.5,https://g.sdlcdn.com/imgs/j/e/m/Liberty-Black-Thong-Flip-Flop-SDL860484357-1-60b77.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/liberty-black-thong-flip-flop/638700328840#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,Stylestry Black Women's Flats,Rs. 374,4,https://g.sdlcdn.com/imgs/k/z/t/Stylestry-Black-Women-s-Flats-SDL072869750-1-f092b.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/stylestry-black-womens-flats/672921904889#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,KARADDI Black Women's Mules Heels,Rs. 431,4.1,https://g.sdlcdn.com/imgs/k/w/q/KARADDI-Black-Women-s-Mules-SDL170802354-1-0d4f7.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/karaddi-brown-womens-mules-heels/5764608171614645705#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,AROTEK Grey Men's Daily Slipper,Rs. 182,4.3,https://g.sdlcdn.com/imgs/l/a/g/AROTEK-Grey-Men-s-Daily-SDL893833170-1-b39bc.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/arotek-grey-mens-daily-slipper/664150090808#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,Leeport - Black Men's Slip On Formal Shoes,Rs. 499,4.1,https://g.sdlcdn.com/imgs/k/r/l/Leeport-Black-Men-s-Slip-SDL233019125-1-4681c.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/leeport-black-mens-slip-on/683443343643#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,FUSEOWL Maroon Women's Flip Flop,Rs. 142,4.2,https://g.sdlcdn.com/imgs/k/y/y/FUSEOWL-Maroon-Women-s-Flip-SDL657286690-1-b6bb8.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/fuseowl-maroon-womens-flip-flop/623019124415#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,Cozy Wear Olive Men's Daily Slipper,Rs. 170,4.1,https://g.sdlcdn.com/imgs/k/3/f/Cozy-Wear-Olive-Men-s-SDL010686781-1-ccc36.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/cozy-wear-brown-mens-daily/5764608200985691127#bcrumbSearch:footwear
2/8/2026 17:01,Footwear,Shoetopia Beige Women's Casual Ballerinas,Rs. 580,3.9,https://g.sdlcdn.com/imgs/k/0/0/Shoetopia-Beige-Women-s-Casual-SDL374024557-1-b8a7a.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/shoetopia-beige-womens-casual-ballerinas/619704737567#bcrumbSearch:footwear
2/8/2026 17:01,Men Clothing,TAZO Nylon Men's Windcheater Jacket - Blue ( Pack of 1 ),Rs. 403,4,https://g.sdlcdn.com/imgs/l/b/9/TAZO-Nylon-Men-s-Windcheater-SDL669477292-1-46142.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/tazo-nylon-mens-windcheater-jacket/6917529664191551592#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,TAZO Nylon Men's Casual Jacket - Beige ( Pack of 1 ),Rs. 369,4,https://g.sdlcdn.com/imgs/l/a/4/TAZO-Nylon-Men-s-Casual-SDL188959732-1-61ace.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/tazo-nylon-mens-casual-jacket/6917529677790197424#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,Montrez Cotton Blend Men's Casual Jacket - White ( Pack of 1 ),Rs. 557,4.2,https://g.sdlcdn.com/imgs/k/z/4/Montrez-Cotton-Blend-Men-s-SDL666353451-1-74c19.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/montrez-cotton-blend-mens-casual/668693384876#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,eddicted Polyester Men's Puffer Jacket - Navy Blue ( Pack of 1 ),Rs. 547,4.1,https://g.sdlcdn.com/imgs/l/a/d/eddicted-Polyester-Men-s-Puffer-SDL075297953-1-5e0d6.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/eddicted-polyester-mens-puffer-jacket/676274661463#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,fashlook Polyester Men's Biker Jacket - Maroon ( Pack of 1 ),Rs. 403,,https://g.sdlcdn.com/imgs/k/8/3/fashlook-Polyester-Men-s-Biker-SDL744771942-1-02cd0.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/fashlook-polyester-mens-biker-jacket/8070451151616035791#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,Forbro Nylon Men's Windcheater Jacket - Black ( Pack of 1 ),Rs. 510,4,https://g.sdlcdn.com/imgs/k/m/a/Forbro-Black-Nylon-Regular-Fit-SDL126709469-1-4397a.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/forbro-black-nylon-regular-fit/673798840716#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,Christy World Polyester Men's Casual Jacket - Navy Blue ( Pack of 1 ),Rs. 374,3.9,https://g.sdlcdn.com/imgs/l/a/g/Christy-World-Polyester-Men-s-SDL366544332-1-833a1.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/christy-world-polyester-mens-casual/5764608169121887710#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,FTX Denim Men's Denim Jacket - Light Blue ( Pack of 1 ),Rs. 506,3.9,https://g.sdlcdn.com/imgs/k/z/o/FTX-Denim-Men-s-Denim-SDL205794027-1-81ee6.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/ftx-denim-mens-denim-jacket/8070451178925053520#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,TAZO Nylon Men's Casual Jacket - Grey ( Pack of 1 ),Rs. 369,4,https://g.sdlcdn.com/imgs/l/a/4/TAZO-Nylon-Men-s-Casual-SDL609898255-1-2d32d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/tazo-nylon-mens-casual-jacket/8070451169561502837#bcrumbSearch:men%20clothing
2/8/2026 17:01,Men Clothing,eddicted Polyester Men's Windcheater Jacket - Maroon ( Pack of 1 ),Rs. 547,,https://g.sdlcdn.com/imgs/l/a/d/eddicted-Polyester-Men-s-Windcheater-SDL379983801-1-f4441.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/eddicted-polyester-mens-windcheater-jacket/683338971803#bcrumbSearch:men%20clothing
2/8/2026 17:01,Women Clothing,TUHIRAJ Women Crepe Printed Gown ( Brown ),Rs. 373,3.8,https://g.sdlcdn.com/imgs/l/d/h/TUHIRAJ-Women-Crepe-Printed-Gown-SDL673824639-1-0ee0d.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/tuhiraj-women-crepe-printed-gown/674755233684#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( White ),Rs. 334,4,https://g.sdlcdn.com/imgs/l/b/t/Sheetal-associates-Women-Crepe-Printed-SDL651505359-1-6aea9.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sheetal-associates-women-crepe-printed/660659444299#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,"Overalza Nylon Women Tummy Shaper ( Black , Pack of 1 )",Rs. 173,3.2,https://g.sdlcdn.com/imgs/l/d/u/Overalza-Nylon-Women-Tummy-Shaper-SDL144608383-1-a4f88.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/overalza-nylon-women-tummy-shaper/638231375523#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,wanquila Women Lycra Solid Bodycon Dress ( Beige ),Rs. 319,4,https://g.sdlcdn.com/imgs/k/7/x/wanquila-Women-Lycra-Solid-Bodycon-SDL974808219-1-603ae.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/wanquila-women-lycra-solid-bodycon/675565797231#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,Sheetal associates Women Crepe Printed A-line Dress ( Orange ),Rs. 289,4.1,https://g.sdlcdn.com/imgs/k/8/q/Sheetal-associates-Women-Crepe-Printed-SDL163389268-1-a66c1.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sheetal-associates-women-crepe-printed/661696553181#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,Fabverse Women Lycra Solid Bodycon Dress ( Black ),Rs. 290,4,https://g.sdlcdn.com/imgs/l/b/h/Fabverse-Women-Lycra-Solid-Bodycon-SDL795202388-1-652c3.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/fabverse-women-lycra-solid-bodycon/648710504290#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,PIYURZ Pack of 6 Poly Cotton Solid Women's Briefs ( Multi Color ),Rs. 170,4,https://g.sdlcdn.com/imgs/k/z/h/PIYURZ-Pack-of-6-Poly-SDL123393531-1-dc2fe.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/piyurz-pack-of-6-poly/626260713245#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,Sheetal associates Women Polyester Printed Fit & Flare Dress ( Brown ),Rs. 334,4.6,https://g.sdlcdn.com/imgs/l/c/b/Sheetal-associates-Women-Polyester-Printed-SDL298237902-1-1448e.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sheetal-associates-women-polyester-printed/5764608169445498149#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,RANILA Women Viscose Rayon Maternity Dress ( Multicolor ),Rs. 429,,https://g.sdlcdn.com/imgs/l/e/f/RANILA-Women-Viscose-Rayon-Maternity-SDL685651639-1-c896e.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/ranila-women-viscose-rayon-maternity/8070451159538989502#bcrumbSearch:women%20clothing
2/8/2026 17:01,Women Clothing,Sheetal associates Women Crepe Printed Shirt Dress ( Green ),Rs. 334,4,https://g.sdlcdn.com/imgs/l/b/t/Sheetal-associates-Women-Crepe-Printed-SDL775684857-1-7aee9.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sheetal-associates-women-crepe-printed/656663562118#bcrumbSearch:women%20clothing
